ID,country,governorate,edu_years,level_edu_ABIII,coledu,coledu_any,age,married,student,unemployed,agriman,lowstat,case
229,Algeria,Tiaret,12,4,0,0,28,0,0,0,0,0,0
231,Algeria,Tiaret,5,2,0,0,62,1,0,0,0,0,0
233,Algeria,Tiaret,5,2,0,0,43,1,0,0,0,0,0
235,Algeria,Tiaret,9,3,0,0,39,1,0,0,0,0,0
237,Algeria,Tiaret,0,1,0,0,24,0,0,0,0,0,0
239,Algeria,Tiaret,9,3,0,0,48,1,0,0,0,0,0
241,Algeria,Tiaret,5,2,0,0,59,1,0,0,1,1,0
243,Algeria,Tiaret,0,1,0,0,42,1,0,0,,0,0
245,Algeria,Tiaret,14,5,0,0,50,1,0,0,1,1,0
247,Algeria,Tiaret,12,4,0,0,46,1,0,0,0,0,0
249,Algeria,Tiaret,5,2,0,0,32,0,0,1,0,1,0
251,Algeria,Tiaret,5,2,0,0,48,1,0,0,0,0,0
253,Algeria,Tiaret,9,3,0,0,35,0,0,0,0,0,0
255,Algeria,Tiaret,0,1,0,0,59,1,0,0,0,0,0
257,Algeria,Tiaret,5,2,0,0,31,0,0,0,0,0,0
259,Algeria,Tiaret,5,2,0,0,26,0,0,1,0,1,0
261,Algeria,Tizi Ouzou,5,2,0,0,65,1,0,0,0,0,0
263,Algeria,Tizi Ouzou,9,3,0,0,28,0,0,0,0,0,0
265,Algeria,Tizi Ouzou,5,2,0,0,45,1,0,0,0,0,0
267,Algeria,Tizi Ouzou,9,3,0,0,20,0,0,1,0,1,0
269,Algeria,Tizi Ouzou,12,4,0,0,33,1,0,0,0,0,0
271,Algeria,Tizi Ouzou,0,1,0,0,66,1,0,0,0,0,0
273,Algeria,Tizi Ouzou,15,6,0,1,22,0,1,0,0,0,0
275,Algeria,Tizi Ouzou,5,2,0,0,58,1,0,0,0,0,0
277,Algeria,Tizi Ouzou,0,1,0,0,55,1,0,0,0,0,0
279,Algeria,Tizi Ouzou,0,1,0,0,75,1,0,0,0,0,0
281,Algeria,Tizi Ouzou,15,6,1,1,27,0,0,0,0,0,0
283,Algeria,Tizi Ouzou,12,4,0,0,54,1,0,0,0,0,0
285,Algeria,Tizi Ouzou,15,6,1,1,34,1,0,0,0,0,0
287,Algeria,Tizi Ouzou,9,3,0,0,19,0,1,0,0,0,0
289,Algeria,Tizi Ouzou,5,2,0,0,33,1,0,0,1,1,0
291,Algeria,Tizi Ouzou,9,3,0,0,33,1,0,0,0,0,0
293,Algeria,Tizi Ouzou,9,3,0,0,46,1,0,0,0,0,0
295,Algeria,Tizi Ouzou,9,3,0,0,31,0,0,1,0,1,0
297,Algeria,Tizi Ouzou,9,3,0,0,20,0,0,0,0,0,0
299,Algeria,Tizi Ouzou,5,2,0,0,52,1,0,0,0,0,0
301,Algeria,Tizi Ouzou,12,4,0,0,18,0,1,0,0,0,0
303,Algeria,Tizi Ouzou,12,4,0,0,19,0,1,0,0,0,0
305,Algeria,Tizi Ouzou,15,6,1,1,30,1,0,0,0,0,0
307,Algeria,Tizi Ouzou,12,4,0,0,20,0,1,0,0,0,0
309,Algeria,Tizi Ouzou,15,6,1,1,30,0,0,0,0,0,0
311,Algeria,Tizi Ouzou,12,4,0,0,18,0,1,0,0,0,0
313,Algeria,Tizi Ouzou,9,3,0,0,24,0,0,0,0,0,0
315,Algeria,Tizi Ouzou,5,2,0,0,63,1,0,0,0,0,0
317,Algeria,Tizi Ouzou,0,1,0,0,75,1,0,0,0,0,0
319,Algeria,Tizi Ouzou,5,2,0,0,27,0,0,0,0,0,0
321,Algeria,Tizi Ouzou,15,6,1,1,25,0,0,1,0,1,0
323,Algeria,Tizi Ouzou,9,3,0,0,54,1,0,0,1,1,0
325,Algeria,Tizi Ouzou,15,6,1,1,47,1,0,0,0,0,0
327,Algeria,Tizi Ouzou,5,2,0,0,28,1,0,0,1,1,0
329,Algeria,Tizi Ouzou,9,3,0,0,45,1,0,0,1,1,0
331,Algeria,Tizi Ouzou,0,1,0,0,41,1,0,0,0,0,0
333,Algeria,Tizi Ouzou,12,4,0,0,31,0,0,0,0,0,0
335,Algeria,Tizi Ouzou,9,3,0,0,27,1,0,0,0,0,0
337,Algeria,Tizi Ouzou,9,3,0,0,28,0,0,0,0,0,0
339,Algeria,Tizi Ouzou,9,3,0,0,38,1,0,0,0,0,0
341,Algeria,Algiers,5,2,0,0,52,1,0,0,0,0,0
343,Algeria,Algiers,9,3,0,0,42,1,0,0,0,0,0
345,Algeria,Algiers,5,2,0,0,52,1,0,0,0,0,0
347,Algeria,Algiers,12,4,0,0,21,0,1,0,0,0,0
349,Algeria,Algiers,9,3,0,0,72,1,0,0,0,0,0
351,Algeria,Algiers,12,4,0,0,20,0,1,0,0,0,0
353,Algeria,Algiers,9,3,0,0,29,0,0,0,1,1,0
355,Algeria,Algiers,5,2,0,0,35,0,0,1,0,1,0
357,Algeria,Algiers,5,2,0,0,38,1,0,0,0,0,0
359,Algeria,Algiers,0,1,0,0,43,1,0,0,1,1,0
361,Algeria,Algiers,0,1,0,0,41,1,0,0,0,0,0
363,Algeria,Algiers,12,4,0,0,21,0,1,0,0,0,0
365,Algeria,Algiers,9,3,0,0,25,0,0,0,0,0,0
367,Algeria,Algiers,5,2,0,0,58,1,0,0,0,0,0
369,Algeria,Algiers,0,1,0,0,31,0,0,0,0,0,0
371,Algeria,Algiers,9,3,0,0,18,0,0,1,0,1,0
373,Algeria,Algiers,5,2,0,0,54,1,0,0,0,0,0
375,Algeria,Algiers,15,6,1,1,34,1,0,0,0,0,0
377,Algeria,Algiers,15,6,1,1,37,1,0,0,0,0,0
379,Algeria,Algiers,15,6,0,1,22,0,1,0,0,0,0
381,Algeria,Algiers,9,3,0,0,38,0,0,0,0,0,0
383,Algeria,Algiers,15,6,0,1,26,0,1,0,0,0,0
385,Algeria,Algiers,9,3,0,0,23,0,0,1,0,1,0
387,Algeria,Algiers,5,2,0,0,19,0,0,1,0,1,0
389,Algeria,Algiers,9,3,0,0,33,0,0,1,0,1,0
391,Algeria,Algiers,0,1,0,0,74,1,0,0,0,0,0
393,Algeria,Algiers,9,3,0,0,19,0,0,1,0,1,0
395,Algeria,Algiers,5,2,0,0,62,1,0,0,0,0,0
397,Algeria,Algiers,12,4,0,0,25,0,0,1,0,1,0
399,Algeria,Algiers,9,3,0,0,20,0,0,0,0,0,0
401,Algeria,Algiers,5,2,0,0,36,0,0,0,0,0,0
